hsn_code,description,gst_rate
00,"Other non-alcoholic beverages [other than
tender coconut water and caffeinated beverages",0.18
00,"Products containing nicotine and intended for inhalation without
combustion",0.18
00,"Tall oil, whether or not refined",0.18
00,"Products for oral application or transdermal application or for application otherwise than orally or transdermally, containing nicotine and intended to assist
tobacco use cessation",0.18
00,"Boards, with writing or drawing surface,
whether or not framed",0.18
00,"Granite, other than blocks",0.18
00,"Glass art ware [ incl. pots, jars, votive, cask, cake cover, tulip bottle, vase ]",0.12
00,Ornamental framed mirrors,0.12
00,"Statuettes & other ornamental ceramic articles
(incl blue potteries)",0.12
00,"Tableware and kitchenware of clay and terracotta,
other clay articles",0.12
00,Prepared driers,0.18
00,Earthen or roofing tiles,0.12
00,"Vegetable parchment, tracing papers and other glazed transparent or translucent papers, in rolls or sheets (other than
greaseproof paper, glassine paper)",0.18
00,Self-loading or self-unloading trailers for agricultural purposes,0.12
00,"Scissors, tailors' shears and similar shears,
and blades therefor",0.18
00,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; hand-written texts; photographic reproductions on sensitised paper and carbon copies of the
foregoing.",0.18
00,Lithium-ion Batteries,0.18
00,"Hand-operated mechanical appliances, weighing 10 kg or less, used in the preparation, conditioning or serving of
food or drink",0.18
00,"Glass of heading 7003, 7004 or 7005, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed or
fitted with other materials",0.18
00,Printed Circuits,0.18
00,"Machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; other packing or wrapping machinery (including heat- shrink wrapping machinery); machinery for aerating beverages [other than dish washing machines]",0.18
00,"Hats and other headgear, plaited or made
by assembling strips of any material, whether or not lined or trimmed",0.18
00,"All goods, other than pan masala containing
tobacco 'gutkha', not bearing a brand name",
00,Flexible intermediate bulk containers,0.18
00,"All goods, other than pan masala containing
tobacco 'gutkha', bearing a brand name",
00,"Percussion musical instruments (for
example, drums, xylophones, cymbols, castanets, maracas)",0.18
00,"Buttons, of plastics not covered with the textile material, of base metals, buttons of
coconut shell, button blanks",0.18
00,"Vessels and other floating structures for
breaking up",0.18
00:00:00,Handcrafted lamps (including panchloga lamp),0.12
00:00:00,Solar water heater and system,0.12
00:00:00,Hand-made braids and ornamental trimming in the piece,0.05
00:00:00,Bumpers and parts thereof for tractors,0.18
00:00:00,"Glasses for corrective spectacles and flint
buttons",0.12
00:00:00,Silver filigree work,0.03
00:00:00,"All goods [including aerated waters],
containing added sugar or other sweetening matter or flavoured",0.28
00:00:00,Aerated waters,
00:00:00,Lemonade,
00:00:00,Cigarillos,
00:00:00,"Hookah' or 'gudaku' tobacco bearing a brand
name",
00:00:00,"Tobacco used for smoking 'hookah' or 'chilam'
commonly known as 'hookah' tobacco or 'gudaku' not bearing a brand name",
00:00:00,Nuclear grade sodium,0.05
00:00:00,"Bangles, beads and small ware",0.05
00:00:00,Cigar and cheroots,
00],"Malt extract, food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 0401 to 0404, not containing cocoa or containing less than 5% by weight of cocoa calculated on a
totally defatted basis not elsewhere specified or included [other than mixes
and doughs for the preparation of bakers’ wares of heading 1905]",0.18
00],"Seats (other than those of heading 9402), whether or not convertible into beds, and parts thereof [other than seats of a kind
used for aircraft]",0.18
00],"Porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely
cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",0.05
00],"Brushes (including brushes constituting parts of machines, appliances or vehicles), hand operated mechanical floor sweepers, not motorised, mops and feather dusters; prepared knots and tufts for broom or brush making; paint pads and rollers; squeegees (other than roller squeegees) [other than brooms and brushes, consisting of twigs or other vegetable materials
bound together, with or without handles]",0.18
0101,Live horses,0.12
0202,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0202,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0203,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0203,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0203,"All goods, fresh or chilled",0.0
0204,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0204,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0204,"All goods, fresh or chilled",0.0
0205,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0205,"All goods, fresh or chilled",0.0
0205,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0206,"All goods, fresh or chilled",0.0
0206,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0206,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0207,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0207,"All goods, fresh or chilled",0.0
0207,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0208,"All goods, fresh or chilled",0.0
0208,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0208,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0209,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0209,"All goods, fresh or chilled",0.0
0209,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0210,All goods [other than fresh or chilled] other than pre-packaged and labelled.,0.0
0210,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0303,All goods [other than fresh or chilled] and other than pre-packaged and labelled.,0.0
0303,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0304,"All goods, fresh or chilled",0.0
0304,All goods [other than fresh or chilled] and other than pre-packaged and labelled.,0.0
0304,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0305,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0305,All goods [other than fresh or chilled] and other than pre-packaged and labelled.,0.0
0306,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0306,"All goods, fresh or chilled",0.0
0306,All goods [other than fresh or chilled] and other than pre-packaged and labelled.,0.0
0307,All goods [other than fresh or chilled] and other than pre-packaged and labelled.,0.0
0307,"All goods, fresh or chilled",0.0
0307,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0308,All goods [other than fresh or chilled] and other than pre-packaged and labelled.,0.0
0308,"All goods, fresh or chilled",0.0
0308,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0309,All goods [other than fresh or chilled] pre-packaged and labelled.,0.05
0309,All goods [other than fresh or chilled] and other than pre-packaged and labelled.,0.0
0402,Condensed milk,0.12
0507,"Ivory, tortoise-shell, whalebone and whalebone hair,
horns, unworked or simply prepared but not cut to shape; powder and waste of these products.",0.05
0507,"All goods i.e. Hoof meal; horn meal; hooves, claws,
nails and beaks; antlers; etc.",0.0
050790],"Ivory, tortoise-shell, whalebone and whalebone hair,
horns, unworked or simply prepared but not cut to shape; powder and waste of these products.",0.05
0802,"Dried chestnuts (singhada), whether or not shelled or peeled",0.05
0813,"Dried chestnuts (singhada), whether or not shelled or peeled",0.05
0910,"Fresh ginger, other than in processed form",0.0
0910,"Fresh turmeric, other than in processed form",0.0
0910,"Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices",0.05
10,"Vegetable products not elsewhere specified or included such as, Cotton linters, Soap nuts, Hard seeds, pips, hulls and nuts, of a kind used primarily for carving, Rudraksha seeds [other than bidi wrapper leaves (tendu), betel leaves, Indian katha, coconut shell, unworked",0.05
10,Chewing tobacco (without lime tube),
10,"Tableware and kitchenware of clay and terracotta,
other clay articles",0.12
10,Filter khaini,
10,"Ecaussine and other calcareous monumental or building stone alabaster [other than marble and travertine], other than mirror polished stone which is ready to use",0.05
10,Handbags including pouches and purses; jewellery box,0.12
10,All goods of seed quality,0.0
10,Glassine papers,0.12
10,"Broomsticks [other than brooms consisting of twigs or other vegetable materials bound together, with or without
handles",0.05
10,Others,
10,"Electrically operated vehicles, including three
wheeled electric motor vehicles.",
10,Earthen or roofing tiles,0.12
10,Building bricks,0.12
10,Bricks of fossil meals or similar siliceous earths,0.12
10,Condensed milk,0.12
10,"Brushes (including brushes constituting parts of machines, appliances or vehicles), hand operated mechanical floor sweepers, not motorised, mops and feather dusters; prepared knots and tufts for broom or brush making; paint pads and rollers; squeegees (other than roller squeegees) [other than brooms and brushes, consisting of twigs or other vegetable materials
bound together, with or without handles]",0.18
10,"Motor vehicles for the transport of not more than 13 persons, including the driver, other than the vehicles of the description mentioned in S. No.
50 and 51",
10,"Seats (other than those of heading 9402), whether or not convertible into beds, and parts thereof [other than seats of a kind
used for aircraft]",0.18
10,Cigarettes of tobacco substitutes,
10,Smoking mixtures for pipes and cigarettes,
10,"Real zari thread (gold) and silver thread, combined with
textile thread",0.05
10,"Cigarettes containing tobacco other than filter cigarettes, of length not exceeding 65 millimetres",
10,Glass statues [other than those of crystal],0.12
10,Bicycle pumps,0.18
10,Guar meal,0.0
10,All goods,0.12
10,All goods i.e. cereals pre-packaged and labelled.,0.05
10,"Hop cones, neither ground nor powdered nor in the form
of pellets",0.0
10,Chewing tobacco (with lime tube),
10,"All goods i.e. Margarine, Linoxyn",0.18
10,Aircraft seats,0.05
10,"All goods i.e. Corn flakes, bulgar wheat, prepared foods obtained from cereal flakes [other than Puffed rice, commonly known as Muri, flattened or beaten rice, commonly known as Chira, parched rice, commonly known as khoi, parched paddy or rice coated with sugar or gur,
commonly known as Murki",0.18
10,Bidi wrapper leaves (tendu),0.18
10,"Fresh turmeric, other than in processed form",0.0
10,Soya milk drinks,0.12
10,"Fresh ginger, other than in processed form",0.0
10,Aircraft engines,0.05
10,"Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices",0.05
10,Ice and snow,0.05
10,Medical grade oxygen,0.12
1001,Wheat and meslin pre-packaged and labelled.,0.05
1001,Wheat and meslin other than pre-packaged and labelled.,0.0
1002,Rye pre-packaged and labelled.,0.05
1002,Rye other than pre-packaged and labelled.,0.0
1003,Barley other than pre-packaged and labelled.,0.0
1003,Barley pre-packaged and labelled.,0.05
1004,Oats pre-packaged and labelled.,0.05
1004,Oats other than pre-packaged and labelled.,0.0
1005,Maize (corn) pre-packaged and labelled.,0.05
1005,Maize (corn) other than pre-packaged and labelled.,0.0
1006,Rice pre-packaged and labelled.,0.05
1006,Rice other than pre-packaged and labelled.,0.0
1007,Grain sorghum pre-packaged and labelled.,0.05
1007,Grain sorghum other than pre-packaged and labelled.,0.0
1008,"Buckwheat, millet and canary seed; other cereals such as Jawar, Bajra, Ragi pre-packaged and labelled.",0.05
1008,"Buckwheat, millet and canary seed; other cereals such as Jawar, Bajra, Ragi] other than pre-packaged and labelled.",0.0
101,"Live asses, mules and hinnies",0.0
1010,Tooth powder,0.12
102,Live bovine animals,0.0
103,Live swine,0.0
104,Live sheep and goats,0.0
105,"Live poultry, that is to say, fowls of the species Gallus
domesticus, ducks, geese, turkeys and guinea fowls.",0.0
106,"Other live animal such as Mammals, Birds, Insects",0.0
10],"Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices",0.05
10],"Vegetable parchment, tracing papers and other glazed transparent or translucent papers, in rolls or sheets (other than
greaseproof paper, glassine paper)",0.18
11,"Products containing tobacco or reconstituted
tobacco and intended for inhalation without combustion",0.28
11,"Other water pipe smoking tobacco not bearing a
brand name.",
11,"“Homogenised” or “reconstituted” tobacco,bearing a brand name",
11,"Fresh ginger, other than in processed form",0.0
11,Granite crude or roughly trimmed,0.05
11,"Marble and travertine, crude or roughly trimmed",0.05
11,"Porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely
cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",0.05
11,"Machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; other packing or wrapping machinery (including heat- shrink wrapping machinery); machinery for aerating beverages [other than dish washing machines]",0.18
11,"Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or
with a basis of coffee",0.18
11,"All goods, other than pan masala containing
tobacco 'gutkha', bearing a brand name",
11,"Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices",0.05
11,"All goods, other than pan masala containing
tobacco 'gutkha', not bearing a brand name",
1101,Wheat or meslin flour other than pre-packaged and labelled.,0.0
1101,Wheat or meslin flour pre-packaged and labelled.,0.05
1102,"Cereal flours other than of wheat or meslin i.e. maize (corn) flour, Rye flour, etc. pre-packaged and labelled.",0.05
1102,"Cereal flours other than of wheat or meslin, [maize (corn) flour, Rye flour, etc.] other than pre-packaged and labelled.",0.0
1103,"Cereal groats, meal and pellets, including suji and dalia pre-packaged and labelled.",0.05
1103,"Cereal groats, meal and pellets other than pre-packaged and labelled.",0.0
1104,Cereal grains hulled,0.0
1104,"Cereal grains otherwise worked (for example, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground
[other than hulled cereal grains]",0.05
1105,"Meal, powder, Flour flakes, granules and pellets of potatoes pre-packaged and labelled.",0.05
1105,"Flour, powder, flakes, granules or pellets of potatoes other than pre-packaged and labelled.",0.0
1106,Guar meal,0.0
1106,"Meal and powder of the dried leguminous vegetables of heading 0713 (pulses) [other than guar meal 1106 10 10 and guar gum refined split {0713}], of sago or of roots or tubers of heading 0714 or of the products of Chapter 8 pre-packaged and labelled.",0.05
1106,"Flour, of the dried leguminous vegetables of heading 0713 (pulses) [other than guar meal 1106 10 10 and guar gum refined split 1106 10 90], of sago or of roots or tubers of heading 0714 or of the products of Chapter 8
i.e. of tamarind, of singoda, mango flour, etc. other than pre-packaged and labelled.",0.0
1107,"Malt, whether or not roasted",0.18
1108,Starches; inulin,0.12
1109,"Wheat gluten, whether or not dried",0.05
12,All goods of seed quality,0.0
12,All goods other than of seed quality,0.05
12,"Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or
with a basis of coffee",0.18
12,Parts of air or vacuum pumps and compressors of bicycle pumps,0.18
12,"Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to non- domestic exempted category (NDEC) customers by the Indian Oil Corporation Limited, Hindustan petroleum Corporation Limited or Bharat Petroleum Corporation Limited.",0.05
12,"Porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely
cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",0.05
12,"Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to household domestic consumers”;",0.05
12,"Marble and travertine, other than blocks",0.18
12,"Ecaussine and other calcareous monumental or building stone alabaster [other than marble and travertine], other than mirror polished stone which is ready to use",0.05
12,"Granite, other than blocks",0.18
12,"Products containing nicotine and intended for inhalation without
combustion",0.18
12,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 8514), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting, distilling,
rectifying, sterilising, pasteurising, steaming, drying, evaporating, vaporising, condensing or cooling, other than machinery or plant of a kind used for domestic purposes; instantaneous or
storage water heaters, non-electric [other than Solar water heater and system]",0.18
1201,"Soya beans, whether or not broken, of seed quality.",0.0
1201,"Soya beans, whether or not broken other than of seed quality.",0.05
1202,"Ground-nuts, not roasted or otherwise cooked, whether or
not shelled or broken other than of seed quality.",0.05
1202,"Ground-nuts, not roasted or otherwise cooked, whether
or not shelled or broken, of seed quality.",0.0
1203,Copra,0.05
1204,"Linseed, whether or not broken other than of seed quality.",0.05
1204,"Linseed, whether or not broken, of seed quality.",0.0
1205,"Rape or colza seeds, whether or not broken other than of
seed quality.",0.05
1205,"Rape or colza seeds, whether or not broken, of seed
quality.",0.0
1206,"Sunflower seeds, whether or not broken other than of seed
quality",0.05
1206,"Sunflower seeds, whether or not broken, of seed quality.",0.0
1207,"Other oil seeds and oleaginous fruits (i.e. Palm nuts and kernels, cotton seeds, Castor oil seeds, Sesamum seeds,
Mustard seeds, Saffower (Carthamustinctorius) seeds, Melon seeds, Poppy seeds, Ajams, Mango kernel, Niger seed, Kokam) whether or not broken, other than of seed quality",0.05
1207,"Other oil seeds and oleaginous fruits (i.e. Palm nuts and kernels, cotton seeds, Castor oil seeds, Sesamum seeds, Mustard seeds, Saffower (Carthamus tinctorius) seeds,
Melon seeds, Poppy seeds, Ajams, Mango kernel, Niger seed, Kokam) whether or not broken, of seed quality.",0.0
1208,"Flour and meals of oil seeds or oleaginous fruits, other
than those of mustard",0.05
1209,"Seeds, fruit and spores, of a kind used for sowing. Explanation: This entry does not cover seeds meant for
any use other than sowing.",0.0
1209,Tamarind seeds meant for any use other than sowing,0.05
1210,Marble and travertine blocks,0.12
1210,"Hop cones, ground, powdered or in the form of pellets; lupulin",0.05
1210,"Hop cones, fresh.",0.0
1210,"Hop cones, neither ground nor powdered nor in the form
of pellets",0.0
1211,"Plants and parts of plants (including seeds and fruits), of
a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purpose, fresh or chilled.",0.0
1211,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purpose, frozen or dried,
whether or not cut, crushed or powdered",0.05
1212,"Locust beans, seaweeds and other algae, sugar beet and
sugar cane, fresh or chilled.",0.0
1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichoriumintybussativum) of a kind used primarily for human consumption, not elsewhere specified or included",0.05
1213,"Cereal straw and husks, unprepared, whether or not
chopped, ground, pressed or in the form of pellets",0.0
1214,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of
pellets.",0.0
13,"Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to non- domestic exempted category (NDEC) customers by the Indian Oil Corporation Limited, Hindustan petroleum Corporation Limited or Bharat Petroleum Corporation Limited.",0.05
13,Tamarind Kernel powder,0.05
13,"Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to household domestic consumers”;",0.05
1301,Lac and Shellac,0.0
1301,"Natural gums, resins, gum-resins and oleoresins (for
example, balsams) [other than lac and shellac]",0.05
1301,Compounded asafoetida commonly known as heeng,0.05
1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar- agar and other mucilages and thickeners, whether or not modified, derived from vegetable products other than tamarind
kernel powder",0.18
1401,"Sal leaves, siali leaves, sisal leaves, sabai grass",0.0
1401,"Vegetable materials of a kind used primarily for plaiting
(for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark)",0.05
1404,Bidi wrapper leaves (tendu),0.18
1404,"Vegetable materials, for manufacture of jhadoo or
broom sticks",0.0
1404,Mehendi paste in cones,0.05
1404,"Coconut shell, unworked",0.0
1404,Betel leaves,0.0
1404,"Vegetable products not elsewhere specified or included such as, Cotton linters, Soap nuts, Hard seeds, pips, hulls and nuts, of a kind used primarily for carving, Rudraksha seeds [other than bidi wrapper leaves (tendu), betel leaves, Indian katha, coconut shell, unworked",0.05
1404,Indian katha,0.18
1501,"Pig fats (including lard) and poultry fat,
other than that of heading 0209 or 1503",0.12
1502,"Fats of bovine animals, sheep or goats, other
than those of heading 1503",0.12
1503,"Lard stearin, lard oil, oleo stearin, oleo-oil and tallow oil, not emulsified or mixed or
otherwise prepared",0.12
1504,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined,
but not chemically modified",0.12
1505,"Wool grease and fatty substances derived
therefrom (including lanolin)",0.12
1506,"Other animal fats and oils and their
fractions, whether or not refined, but not chemically modified",0.12
1507,"Soya-bean oil and its fractions, whether or not refined, but
not chemically modified",0.05
1508,"Ground-nut oil and its fractions, whether or not refined,
but not chemically modified.",0.05
1509,"Olive oil and its fractions, whether or not refined, but not
chemically modified.",0.05
1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 1509",0.05
1511,"Palm oil and its fractions, whether or not refined, but not
chemically modified.",0.05
1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically
modified.",0.05
1513,"Coconut (copra), palm kernel or babassu oil and fractions
thereof, whether or not refined, but not chemically modified.",0.05
1514,"Rape, colza or mustard oil and fractions thereof, whether
or not refined, but not chemically modified.",0.05
1515,"Other fixed vegetable or microbial fats and oils
(including jojoba oil) and their fractions, whether or not refined, but not chemically modified",0.05
1516,"Animal or microbial fats and animal or microbial oils and their fractions, partly or wholly hydrogenated, inter-esterified, re- esterified or elaidinised, whether or not
refined, but not further prepared",0.12
1516,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further
prepared.",0.05
1517,"Edible mixtures or preparations of vegetable fats or vegetable oils or of fractions of different vegetable fats or
vegetable oils of this Chapter, other than edible fats or oils or their fractions of heading 1516",0.05
1517,"Edible mixtures or preparations of animal fats or microbial fats or animal oils or microbial oils or of fractions of different animal fats or microbial fats or animal oils or microbial oils of this Chapter, other than
edible fats or oils or their fractions of heading 1516",0.12
1517,"All goods i.e. Margarine, Linoxyn",0.18
1518,"Animal or microbial fats and animal or microbial oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516; inedible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this chapter, not elsewhere specified of
included",0.12
1518,"Vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically
modified, excluding those of heading 1516",0.05
1520,"Glycerol, crude; glycerol waters and
glycerol lyes",0.18
1521,"Vegetable waxes (other than triglycerides), Beeswax, other insect waxes and spermaceti, whether or not refined or
coloured",0.18
1522,"Degras, residues resulting from the
treatment of fatty substances or animal or vegetable waxes",0.18
1601,"Sausages and similar products, of meat,
meat offal, blood or insects; food preparations based on these products",0.12
1602,"Other prepared or preserved meat, meat
offal, blood or insects",0.12
1603,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic
invertebrates",0.12
1604,"Prepared or preserved fish; caviar and caviar
substitutes prepared from fish eggs",0.12
1605,"Crustaceans, molluscs and other aquatic
invertebrates prepared or preserved",0.12
1701,"All goods, including refined sugar containing added flavouring or colouring
matter, sugar cubes (other than those which attract 5% or nil GST)",0.12
1701,"(i)Jaggery of all types including Cane Jaggery (gur),Palmyra Jaggery, other than pre-packaged and labelled.;
(ii) Khandsari Sugar, other than pre-packaged and labelled (iii) Rab, other than pre-packaged and labelled",0.0
1701,"Jaggery of all types including Cane Jaggery (gur), Palmyra Jaggery, pre-packaged and labelled; Khandsari Sugar, pre-packaged and labelled; Rab, pre-packaged and labelled",0.05
1701,"Beet sugar, cane sugar",0.05
1702,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with
natural honey; caramel [other than palmyra sugar and Palmyra jaggery]",0.18
